City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Avera,US,33.194,-82.5271,80.65,61,88,6.89,overcast clouds
275,Thompson,CA,55.7435,-97.8558,69.96,88,75,4.61,thunderstorm
276,Panguna,PG,-6.3164,155.4848,78.42,64,58,2.44,broken clouds
277,Eureka,US,40.8021,-124.1637,80.67,73,25,5.99,scattered clouds
278,Mehamn,NO,71.0357,27.8492,53.51,93,75,0.0,broken clouds
279,Corvallis,US,44.5646,-123.262,83.07,51,20,17.27,few clouds
280,Maba,CN,24.6841,113.5984,79.93,89,15,1.3,few clouds
281,Saint Anthony,US,45.0205,-93.218,84.94,54,75,11.5,broken clouds
282,Singaparna,ID,-7.3515,108.111,69.57,94,88,1.63,overcast clouds
283,Egvekinot,RU,66.3167,-179.1667,41.41,97,100,6.87,light rain
284,Pringsewu,ID,-5.3582,104.9744,72.21,91,40,3.27,scattered clouds
285,Shaunavon,CA,49.6501,-108.4181,80.38,33,0,11.18,clear sky
286,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,8.05,overcast clouds
287,Malakal,SS,9.5334,31.6605,72.72,77,97,3.67,overcast clouds
288,Kungurtug,RU,50.5994,97.5228,53.11,70,89,1.72,overcast clouds
289,Lubao,PH,14.9167,120.55,82.11,85,11,1.77,few clouds
290,Havelock,US,34.8791,-76.9013,88.05,85,0,11.5,clear sky
291,Morondava,MG,-20.2833,44.2833,67.32,55,0,13.47,clear sky
292,Laguna,US,38.421,-121.4238,96.76,30,0,10.36,clear sky
293,Maniitsoq,GL,65.4167,-52.9,40.53,90,100,9.28,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,37.31,100,100,6.91,fog
295,Pec,XK,42.6591,20.2883,58.01,82,44,5.79,scattered clouds
296,Hasaki,JP,35.7333,140.8333,81.28,89,100,16.02,overcast clouds
297,Dongsheng,CN,39.8161,109.9776,63.37,62,1,8.75,clear sky
298,Vila Velha,BR,-20.3297,-40.2925,66.94,94,0,2.3,clear sky
299,Alice,US,27.7523,-98.0697,100.29,41,0,18.41,clear sky
300,Cabo San Lucas,MX,22.8909,-109.9124,96.62,43,20,11.5,few clouds
301,Lompoc,US,34.6391,-120.4579,82.69,69,0,24.0,clear sky
302,Kenai,US,60.5544,-151.2583,69.03,56,75,9.22,broken clouds
303,Douglas,US,41.3,-96.167,87.67,60,0,6.91,clear sky
304,Bara,NG,10.3744,10.7288,75.9,80,97,3.42,moderate rain
305,Erenhot,CN,43.6475,111.9767,74.48,27,27,4.07,scattered clouds
306,Riyadh,SA,24.6877,46.7219,86.14,13,100,10.0,overcast clouds
307,Cherskiy,RU,68.75,161.3,44.24,65,100,11.61,overcast clouds
308,Massaguet,TD,12.4755,15.4365,84.99,50,77,5.57,broken clouds
309,Alghero,IT,40.5589,8.3181,69.89,78,0,4.61,clear sky
310,Port Elizabeth,ZA,-33.918,25.5701,63.1,75,0,27.63,clear sky
311,Takoradi,GH,4.8845,-1.7554,75.49,87,88,9.44,overcast clouds
312,Emilio Carranza,MX,19.9711,-96.6114,85.06,68,60,7.43,broken clouds
313,Suntar,RU,62.1444,117.6319,56.64,99,100,3.6,light rain
314,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,94,75,9.13,broken clouds
315,Tacoronte,ES,28.4769,-16.4102,77.32,65,0,14.97,clear sky
316,Teya,RU,60.3778,92.6267,62.02,80,98,3.27,light rain
317,Talnakh,RU,69.4865,88.3972,45.21,87,100,16.82,light rain
318,Yinchuan,CN,38.4681,106.2731,70.39,44,56,8.37,broken clouds
319,Atocha,BO,-20.9333,-66.2333,45.23,33,63,16.31,broken clouds
320,Mandan,US,46.8267,-100.8896,93.81,62,75,9.22,broken clouds
321,Sechura,PE,-5.5569,-80.8222,69.66,64,75,17.81,broken clouds
322,Polunochnoye,RU,60.8697,60.4153,60.42,93,33,2.21,scattered clouds
323,Catuday,PH,16.2923,119.8062,79.79,83,95,9.31,overcast clouds
324,Saint-Philippe,RE,-21.3585,55.7679,65.79,79,61,15.55,broken clouds
325,Nichinan,JP,31.6,131.3667,80.28,76,2,3.04,clear sky
326,Russell,US,32.3502,-85.1999,81.63,89,0,0.0,clear sky
327,Kindu,CD,-2.95,25.95,69.37,45,1,1.9,clear sky
328,Solano,US,38.2333,-121.9511,95.32,45,0,20.71,clear sky
329,Taseyevo,RU,57.2169,94.8978,62.91,77,88,1.25,overcast clouds
330,Yuxia,CN,34.0615,108.6291,84.81,51,95,3.2,overcast clouds
331,Balakhta,RU,55.38,91.6,57.65,85,30,2.89,scattered clouds
332,Burlington,US,39.8835,-74.6413,77.95,70,75,4.61,broken clouds
333,Januaria,BR,-15.4833,-44.3667,76.75,39,26,6.8,scattered clouds
334,Telsiai,LT,55.9814,22.2472,50.47,95,5,7.2,clear sky
335,Nome,US,64.5011,-165.4064,72.16,59,0,21.85,clear sky
336,Brigham City,US,41.5102,-112.0155,100.62,9,0,8.99,clear sky
337,Hay River,CA,60.8156,-115.7999,64.38,88,75,4.61,thunderstorm
338,Alta Floresta,BR,-9.8756,-56.0861,82.13,39,49,3.09,scattered clouds
339,Ambilobe,MG,-13.2,49.05,66.7,69,23,5.79,few clouds
340,Souillac,MU,-20.5167,57.5167,68.38,77,40,17.27,scattered clouds
341,Ygatimi,PY,-24.0833,-55.5,76.15,46,4,6.85,clear sky
342,Perpignan,FR,42.75,2.75,82.04,30,0,12.66,clear sky
343,Grindavik,IS,63.8424,-22.4338,50.47,93,100,16.11,overcast clouds
344,San Patricio,US,28.017,-97.5169,99.32,43,44,17.09,scattered clouds
345,Safaga,EG,26.7292,33.9365,88.07,35,71,18.84,broken clouds
346,Kayerkan,RU,69.3497,87.7602,44.53,100,100,15.23,overcast clouds
347,Chumikan,RU,54.7183,135.315,52.03,97,100,5.53,overcast clouds
348,Port Lincoln,AU,-34.7333,135.8667,48.99,75,60,14.05,broken clouds
349,Paita,PE,-5.0892,-81.1144,65.64,80,67,18.1,broken clouds
